# w/T rho/wT^3(C=1) err_low err_up rho/wT^3(C=5) err_low err_up
3.226520027364346006e-04 2.312586346427061290e+00 7.171778515936118037e-01 6.691406612308377078e-01 8.888946772697410292e-01 2.765213647480212478e-01 2.527987027694638122e-01
3.286119402245973181e-04 2.312586337450776242e+00 7.171778488098918825e-01 6.691406586335735263e-01 8.888946771317313145e-01 2.765213647050883683e-01 2.527987027302146528e-01
3.346819680099268036e-04 2.312586328139813574e+00 7.171778459223823177e-01 6.691406559394716957e-01 8.888946769885763821e-01 2.765213646605552134e-01 2.527987026895013312e-01
3.408641196495799789e-04 2.312586318481694825e+00 7.171778429272122057e-01 6.691406531449208828e-01 8.888946768400838305e-01 2.765213646143616089e-01 2.527987026472706678e-01
3.471604662640116160e-04 2.312586308463476126e+00 7.171778398203683125e-01 6.691406502461760830e-01 8.888946766860545967e-01 2.765213645664453823e-01 2.527987026034652640e-01
3.535731172308338569e-04 2.312586298071732660e+00 7.171778365976870795e-01 6.691406472393537364e-01 8.888946765262827343e-01 2.765213645167429179e-01 2.527987025580266112e-01
3.601042208914919805e-04 2.312586287292536458e+00 7.171778332548492951e-01 6.691406441204219568e-01 8.888946763605534152e-01 2.765213644651869362e-01 2.527987025108937580e-01
3.667559652709930407e-04 2.312586276111441741e+00 7.171778297873749874e-01 6.691406408852023091e-01 8.888946761886451498e-01 2.765213644117089364e-01 2.527987024620039769e-01
3.735305788109295885e-04 2.312586264513464496e+00 7.171778261906178731e-01 6.691406375293582620e-01 8.888946760103275668e-01 2.765213643562371981e-01 2.527987024112907655e-01
3.804303311160436157e-04 2.312586252483060267e+00 7.171778224597560314e-01 6.691406340483934123e-01 8.888946758253609692e-01 2.765213642986967812e-01 2.527987023586869553e-01
3.874575337145807368e-04 2.312586240004107729e+00 7.171778185897914604e-01 6.691406304376408265e-01 8.888946756334984434e-01 2.765213642390114135e-01 2.527987023041217141e-01
3.946145408326891799e-04 2.312586227059880706e+00 7.171778145755354217e-01 6.691406266922639290e-01 8.888946754344821954e-01 2.765213641771006037e-01 2.527987022475224332e-01
4.019037501831237416e-04 2.312586213633033516e+00 7.171778104116097730e-01 6.691406228072422913e-01 8.888946752280456609e-01 2.765213641128814182e-01 2.527987021888123964e-01
4.093276037685182199e-04 2.312586199705571666e+00 7.171778060924340892e-01 6.691406187773680792e-01 8.888946750139122832e-01 2.765213640462677036e-01 2.527987021279135549e-01
4.168885886994954802e-04 2.312586185258829197e+00 7.171778016122185573e-01 6.691406145972425001e-01 8.888946747917949587e-01 2.765213639771705312e-01 2.527987020647439742e-01
4.245892380278896722e-04 2.312586170273445596e+00 7.171777969649610895e-01 6.691406102612615925e-01 8.888946745613960365e-01 2.765213639054968642e-01 2.527987019992196105e-01
4.324321315953596188e-04 2.312586154729337817e+00 7.171777921444322246e-01 6.691406057636148930e-01 8.888946743224068747e-01 2.765213638311511124e-01 2.527987019312518679e-01
4.404198968976765155e-04 2.312586138605672303e+00 7.171777871441709085e-01 6.691406010982761110e-01 8.888946740745070629e-01 2.765213637540334668e-01 2.527987018607497083e-01
4.485552099649795974e-04 2.312586121880842782e+00 7.171777819574769453e-01 6.691405962589915823e-01 8.888946738173644224e-01 2.765213636740401215e-01 2.527987017876192066e-01
4.568407962582863809e-04 2.312586104532433851e+00 7.171777765773990065e-01 6.691405912392762723e-01 8.888946735506343400e-01 2.765213635910647172e-01 2.527987017117622193e-01
4.652794315825679980e-04 2.312586086537196550e+00 7.171777709967273040e-01 6.691405860324022292e-01 8.888946732739592127e-01 2.765213635049953433e-01 2.527987016330767167e-01
