# w/T rho/wT^3(C=1) err_low err_up rho/wT^3(C=5) err_low err_up
9.675486972272732446e-04 3.598702468734022553e+00 1.079786410678030606e+00 1.092761680448998796e+00 1.393479993172627385e+00 4.185172649553785540e-01 4.149262096601225025e-01
9.854209859573028699e-04 3.598702343200032239e+00 1.079786372675570316e+00 1.092761642279223899e+00 1.393479991257136064e+00 4.185172643660652891e-01 4.149262090911258749e-01
1.003623406602516342e-03 3.598702212986064630e+00 1.079786333255366326e+00 1.092761602686156408e+00 1.393479989270470565e+00 4.185172637547364127e-01 4.149262085009868262e-01
1.022162057267251341e-03 3.598702077917652176e+00 1.079786292364525391e+00 1.092761561616726773e+00 1.393479987209987669e+00 4.185172631205682503e-01 4.149262078889213168e-01
1.041043148698321845e-03 3.598701937813822305e+00 1.079786249948182508e+00 1.092761519015883032e+00 1.393479985072946903e+00 4.185172624627070403e-01 4.149262072541139990e-01
1.060273006365718531e-03 3.598701792486856732e+00 1.079786205949425426e+00 1.092761474826517087e+00 1.393479982856505872e+00 4.185172617802678241e-01 4.149262065957208812e-01
1.079858072581743296e-03 3.598701641742038326e+00 1.079786160309217369e+00 1.092761428989397210e+00 1.393479980557716935e+00 4.185172610723316700e-01 4.149262059128659974e-01
1.099804908659287803e-03 3.598701485377391762e+00 1.079786112966320211e+00 1.092761381443080992e+00 1.393479978173523204e+00 4.185172603379453404e-01 4.149262052046418514e-01
1.120120197109977702e-03 3.598701323183411738e+00 1.079786063857210987e+00 1.092761332123832752e+00 1.393479975700753659e+00 4.185172595761202929e-01 4.149262044701051977e-01
1.140810743882927176e-03 3.598701154942785863e+00 1.079786012915997517e+00 1.092761280965540927e+00 1.393479973136121375e+00 4.185172587858316806e-01 4.149262037082799282e-01
1.161883480644833235e-03 3.598700980430094898e+00 1.079785960074326034e+00 1.092761227899634147e+00 1.393479970476215746e+00 4.185172579660143555e-01 4.149262029181528533e-01
1.183345467102201462e-03 3.598700799411520990e+00 1.079785905261296364e+00 1.092761172854975094e+00 1.393479967717500489e+00 4.185172571155654220e-01 4.149262020986730359e-01
1.205203893366460412e-03 3.598700611644529701e+00 1.079785848403363335e+00 1.092761115757779677e+00 1.393479964856307873e+00 4.185172562333391300e-01 4.149262012487509033e-01
1.227466082362764369e-03 3.598700416877544050e+00 1.079785789424234643e+00 1.092761056531511343e+00 1.393479961888834495e+00 4.185172553181477628e-01 4.149262003672562482e-01
1.250139492283289808e-03 3.598700214849607892e+00 1.079785728244774035e+00 1.092760995096777155e+00 1.393479958811136399e+00 4.185172543687596391e-01 4.149261994530166753e-01
1.273231719085855850e-03 3.598700005290038639e+00 1.079785664782892063e+00 1.092760931371228317e+00 1.393479955619122634e+00 4.185172533838958930e-01 4.149261985048169343e-01
1.296750499038684451e-03 3.598699787918063997e+00 1.079785598953438175e+00 1.092760865269442050e+00 1.393479952308550374e+00 4.185172523622300300e-01 4.149261975213962561e-01
1.320703711312180275e-03 3.598699562442440936e+00 1.079785530668081250e+00 1.092760796702809678e+00 1.393479948875020469e+00 4.185172513023870389e-01 4.149261965014470199e-01
1.345099380618578313e-03 3.598699328561075550e+00 1.079785459835200356e+00 1.092760725579420278e+00 1.393479945313969903e+00 4.185172502029389507e-01 4.149261954436134214e-01
1.369945679900351964e-03 3.598699085960606503e+00 1.079785386359750632e+00 1.092760651803936334e+00 1.393479941620666684e+00 4.185172490624053943e-01 4.149261943464894742e-01
1.395250933068280848e-03 3.598698834315995576e+00 1.079785310143145605e+00 1.092760575277460511e+00 1.393479937790203627e+00 4.185172478792501538e-01 4.149261932086170113e-01
1.421023617790093813e-03 3.598698573290084912e+00 1.079785231083117747e+00 1.092760495897412643e+00 1.393479933817491689e+00 4.185172466518798373e-01 4.149261920284823546e-01
1.447272368330626080e-03 3.598698302533149374e+00 1.079785149073586137e+00 1.092760413557388510e+00 1.393479929697253095e+00 4.185172453786416558e-01 4.149261908045183134e-01
1.474005978444435953e-03 3.598698021682427139e+00 1.079785064004511685e+00 1.092760328147006632e+00 1.393479925424014443e+00 4.185172440578200925e-01 4.149261895350975227e-01
1.501233404321854681e-03 3.598697730361632985e+00 1.079784975761748367e+00 1.092760239551783030e+00 1.393479920992099386e+00 4.185172426876364593e-01 4.149261882185324435e-01
1.528963767589454391e-03 3.598697428180456015e+00 1.079784884226895780e+00 1.092760147652954927e+00 1.393479916395621077e+00 4.185172412662444552e-01 4.149261868530749187e-01
